caseTypeEnum,caseType,catgCsvPath,appNoteTypes,statusSchema,replyNoteType,toplvlCatgOnly,catgRankEnabled,confirmStatus
Learning,ZLSS,,ZSF1|S001,ZL,ZSF1,true,true,Closed
HR_Mobility,ZMOB,,,,,false,false,
