caseTypeEnum,catg,rank
Learning,Learning and Certification Advice,1
Learning,Booking & Order,2
Learning,Technical Queries,3
Learning,Practice Systems,4
Learning,Training System Delivery (SAP Internal),5
Learning,Training Reseller Partner Support,6
Learning,Learning Virtual Class Support,7
Learning,Virtual Event Services,8
